id,studentNo,name,gender,birthDate,phone,address,grade,enrollmentDate,status,avatar,remark,majorId,majorName,classId,className,createdAt,updatedAt
28,2024AI02028,施文静,female,2007-12-14,16666320288,模拟市西湖区模拟路651号,2024,2024-09-01,graduated,,,3,人工智能,4,人工智能2402班,2026-04-26T18:01:54,2026-04-26T18:01:54
29,2021CS02029,章昊然,male,2004-11-09,15277338637,模拟市浦东新区模拟路916号,2021,2021-09-01,graduated,,,2,计算机科学与技术,2,计算机科学与技术2102班,2026-04-26T18:01:54,2026-04-26T18:01:54
30,2021CS02030,曹俊杰,male,2002-08-18,17873417005,模拟市西湖区模拟路783号,2021,2021-09-01,studying,,,2,计算机科学与技术,2,计算机科学与技术2102班,2026-04-26T18:01:54,2026-04-26T18:01:54
31,2021CS02031,何景行,male,2004-06-27,15829182190,模拟市武侯区模拟路661号,2021,2021-09-01,suspended,,,2,计算机科学与技术,2,计算机科学与技术2102班,2026-04-26T18:01:54,2026-04-26T18:01:54
32,2021ECOM01032,魏子涵,female,2002-12-04,18825339262,模拟市高新区模拟路955号,2021,2021-09-01,studying,,,5,电子商务,1,电子商务2101班,2026-04-26T18:01:54,2026-04-26T18:01:54
33,2023ECOM02033,方浩然,male,2006-10-26,15808145082,模拟市滨江区模拟路690号,2023,2023-09-01,studying,,,5,电子商务,8,电子商务2302班,2026-04-26T18:01:54,2026-04-26T18:01:54
34,2021SE02034,杨鹏飞,male,2001-10-04,13987282652,模拟市朝阳区模拟路647号,2021,2021-09-01,graduated,,,1,软件工程,3,软件工程2102班,2026-04-26T18:01:54,2026-04-26T18:01:54
35,2023DS02035,昌鹏飞,male,2005-06-26,15741491045,模拟市武侯区模拟路242号,2023,2023-09-01,studying,,,4,数据科学与大数据技术,6,数据科学与大数据技术2302班,2026-04-26T18:01:54,2026-04-26T18:01:54
36,2021CS03036,袁佳宁,female,2003-07-20,15762938410,模拟市高新区模拟路721号,2021,2021-09-01,graduated,,,2,计算机科学与技术,7,计算机科学与技术2103班,2026-04-26T18:01:54,2026-04-26T18:01:54
37,2022DS02037,沈慧敏,female,2004-12-14,15251276433,模拟市高新区模拟路462号,2022,2022-09-01,studying,,,4,数据科学与大数据技术,5,数据科学与大数据技术2202班,2026-04-26T18:01:54,2026-04-26T18:01:54
38,2021ECOM01038,吴梦瑶,female,2002-07-21,15864880372,模拟市武侯区模拟路173号,2021,2021-09-01,studying,,,5,电子商务,1,电子商务2101班,2026-04-26T18:01:54,2026-04-26T18:01:54
39,2023ECOM02039,曹子涵,female,2006-01-12,18687390897,模拟市海淀区模拟路168号,2023,2023-09-01,graduated,,,5,电子商务,8,电子商务2302班,2026-04-26T18:01:54,2026-04-26T18:01:54
40,2021CS03040,昌文博,male,2003-03-06,13877570452,模拟市滨江区模拟路554号,2021,2021-09-01,studying,,,2,计算机科学与技术,7,计算机科学与技术2103班,2026-04-26T18:01:54,2026-04-26T18:01:54
41,2021CS02041,喻国强,male,2002-03-13,16671611431,模拟市滨江区模拟路700号,2021,2021-09-01,suspended,,,2,计算机科学与技术,2,计算机科学与技术2102班,2026-04-26T18:01:54,2026-04-26T18:01:54
42,2023DS02042,尤可欣,female,2005-05-05,13825807787,模拟市武侯区模拟路736号,2023,2023-09-01,studying,,,4,数据科学与大数据技术,6,数据科学与大数据技术2302班,2026-04-26T18:01:54,2026-04-26T18:01:54
43,2024AI02043,孔昊然,male,2005-02-27,15813345721,模拟市武侯区模拟路864号,2024,2024-09-01,studying,,,3,人工智能,4,人工智能2402班,2026-04-26T18:01:54,2026-04-26T18:01:54
44,2022DS02044,葛思琪,female,2002-07-14,15831969658,模拟市浦东新区模拟路350号,2022,2022-09-01,graduated,,,4,数据科学与大数据技术,5,数据科学与大数据技术2202班,2026-04-26T18:01:54,2026-04-26T18:01:54
45,2023ECOM02045,奚景行,male,2004-10-15,18808347358,模拟市海淀区模拟路896号,2023,2023-09-01,studying,,,5,电子商务,8,电子商务2302班,2026-04-26T18:01:54,2026-04-26T18:01:54
46,2021ECOM01046,谢语嫣,female,2002-07-22,15790726668,模拟市海淀区模拟路508号,2021,2021-09-01,studying,,,5,电子商务,1,电子商务2101班,2026-04-26T18:01:54,2026-04-26T18:01:54
47,2021CS03047,韩睿哲,male,2003-01-01,15902129913,模拟市朝阳区模拟路164号,2021,2021-09-01,studying,,,2,计算机科学与技术,7,计算机科学与技术2103班,2026-04-26T18:01:54,2026-04-26T18:01:54
48,2023ECOM02048,韦晓彤,female,2006-04-22,15766889422,模拟市西湖区模拟路167号,2023,2023-09-01,suspended,,,5,电子商务,8,电子商务2302班,2026-04-26T18:01:54,2026-04-26T18:01:54
49,2021SE02049,窦博文,male,2003-05-27,15280040287,模拟市高新区模拟路246号,2021,2021-09-01,studying,,,1,软件工程,3,软件工程2102班,2026-04-26T18:01:54,2026-04-26T18:01:54
50,2023DS02050,郑一鸣,male,2006-11-11,15910320000,模拟市天河区模拟路527号,2023,2023-09-01,suspended,,,4,数据科学与大数据技术,6,数据科学与大数据技术2302班,2026-04-26T18:01:54,2026-04-26T18:01:54
51,2023ECOM02051,窦丽娜,female,2005-03-09,15767516938,模拟市西湖区模拟路961号,2023,2023-09-01,studying,,,5,电子商务,8,电子商务2302班,2026-04-26T18:01:54,2026-04-26T18:01:54
52,2021ECOM01052,袁俊杰,male,2001-12-12,17881781432,模拟市天河区模拟路955号,2021,2021-09-01,studying,,,5,电子商务,1,电子商务2101班,2026-04-26T18:01:54,2026-04-26T18:01:54
53,2021ECOM01053,窦鹏飞,male,2002-04-16,13940279324,模拟市海淀区模拟路553号,2021,2021-09-01,studying,,,5,电子商务,1,电子商务2101班,2026-04-26T18:01:54,2026-04-26T18:01:54
54,2021SE02054,鲍沐晴,female,2002-12-16,17869922974,模拟市浦东新区模拟路325号,2021,2021-09-01,studying,,,1,软件工程,3,软件工程2102班,2026-04-26T18:01:54,2026-04-26T18:01:54
55,2021CS03055,凤可欣,female,2002-09-09,18826049362,模拟市朝阳区模拟路469号,2021,2021-09-01,studying,,,2,计算机科学与技术,7,计算机科学与技术2103班,2026-04-26T18:01:54,2026-04-26T18:01:54
56,2023DS02056,钱沐晴,female,2003-07-08,13859789564,模拟市海淀区模拟路105号,2023,2023-09-01,studying,,,4,数据科学与大数据技术,6,数据科学与大数据技术2302班,2026-04-26T18:01:54,2026-04-26T18:01:54
57,2021SE02057,昌雪晴,female,2003-04-03,15151143803,模拟市武侯区模拟路636号,2021,2021-09-01,studying,,,1,软件工程,3,软件工程2102班,2026-04-26T18:01:54,2026-04-26T18:01:54
58,2021SE02058,陶鹏飞,male,2002-10-08,18870586403,模拟市滨江区模拟路693号,2021,2021-09-01,studying,,,1,软件工程,3,软件工程2102班,2026-04-26T18:01:54,2026-04-26T18:01:54
59,2023ECOM02059,冯雪晴,female,2004-10-05,13807849600,模拟市天河区模拟路841号,2023,2023-09-01,studying,,,5,电子商务,8,电子商务2302班,2026-04-26T18:01:54,2026-04-26T18:01:54
60,2021CS03060,吕文博,male,2004-02-12,15151509782,模拟市朝阳区模拟路442号,2021,2021-09-01,suspended,,,2,计算机科学与技术,7,计算机科学与技术2103班,2026-04-26T18:01:54,2026-04-26T18:01:54
61,2021CS02061,郎思琪,female,2004-02-06,15227534580,模拟市海淀区模拟路804号,2021,2021-09-01,studying,,,2,计算机科学与技术,2,计算机科学与技术2102班,2026-04-26T18:01:54,2026-04-26T18:01:54
62,2022DS02062,范梓豪,male,2003-07-02,15709528518,模拟市天河区模拟路484号,2022,2022-09-01,graduated,,,4,数据科学与大数据技术,5,数据科学与大数据技术2202班,2026-04-26T18:01:54,2026-04-26T18:01:54
63,2021ECOM01063,陶沐晴,female,2001-11-12,15737643287,模拟市高新区模拟路61号,2021,2021-09-01,studying,,,5,电子商务,1,电子商务2101班,2026-04-26T18:01:54,2026-04-26T18:01:54
64,2022DS02064,许诗涵,female,2003-03-03,15280433442,模拟市海淀区模拟路51号,2022,2022-09-01,suspended,,,4,数据科学与大数据技术,5,数据科学与大数据技术2202班,2026-04-26T18:01:54,2026-04-26T18:01:54
65,2024AI02065,云静怡,female,2005-02-20,13900438065,模拟市海淀区模拟路735号,2024,2024-09-01,studying,,,3,人工智能,4,人工智能2402班,2026-04-26T18:01:54,2026-04-26T18:01:54
66,2021CS02066,方欣怡,female,2003-04-21,18855391492,模拟市滨江区模拟路139号,2021,2021-09-01,studying,,,2,计算机科学与技术,2,计算机科学与技术2102班,2026-04-26T18:01:54,2026-04-26T18:01:54
67,2021CS03067,葛佳宁,female,2001-11-17,15850879038,模拟市浦东新区模拟路243号,2021,2021-09-01,studying,,,2,计算机科学与技术,7,计算机科学与技术2103班,2026-04-26T18:01:54,2026-04-26T18:01:54
68,2021CS03068,冯思琪,female,2002-01-03,18647713290,模拟市武侯区模拟路952号,2021,2021-09-01,studying,,,2,计算机科学与技术,7,计算机科学与技术2103班,2026-04-26T18:01:54,2026-04-26T18:01:54
69,2021SE02069,褚雪晴,female,2003-10-24,15956796607,模拟市滨江区模拟路176号,2021,2021-09-01,suspended,,,1,软件工程,3,软件工程2102班,2026-04-26T18:01:54,2026-04-26T18:01:54
70,2021CS02070,马博文,male,2002-03-04,13802250681,模拟市浦东新区模拟路560号,2021,2021-09-01,studying,,,2,计算机科学与技术,2,计算机科学与技术2102班,2026-04-26T18:01:54,2026-04-26T18:01:54
71,2021SE02071,袁佳怡,female,2001-09-06,15729510442,模拟市高新区模拟路226号,2021,2021-09-01,studying,,,1,软件工程,3,软件工程2102班,2026-04-26T18:01:54,2026-04-26T18:01:54
72,2023DS02072,柏诗涵,female,2003-05-10,18896604680,模拟市天河区模拟路96号,2023,2023-09-01,studying,,,4,数据科学与大数据技术,6,数据科学与大数据技术2302班,2026-04-26T18:01:54,2026-04-26T18:01:54
73,2021ECOM01073,孙明哲,male,2002-02-19,15930457741,模拟市高新区模拟路953号,2021,2021-09-01,studying,,,5,电子商务,1,电子商务2101班,2026-04-26T18:01:54,2026-04-26T18:01:54
74,2024AI02074,范建国,male,2005-06-08,15012331966,模拟市天河区模拟路104号,2024,2024-09-01,studying,,,3,人工智能,4,人工智能2402班,2026-04-26T18:01:54,2026-04-26T18:01:54
75,2024AI02075,孔梦瑶,female,2005-10-18,13922642914,模拟市海淀区模拟路334号,2024,2024-09-01,studying,,,3,人工智能,4,人工智能2402班,2026-04-26T18:01:54,2026-04-26T18:01:54
76,2021ECOM01076,邹文静,female,2003-04-21,15035735546,模拟市西湖区模拟路491号,2021,2021-09-01,graduated,,,5,电子商务,1,电子商务2101班,2026-04-26T18:01:54,2026-04-26T18:01:54
77,2021CS03077,韦思琪,female,2004-03-21,17830134397,模拟市海淀区模拟路544号,2021,2021-09-01,studying,,,2,计算机科学与技术,7,计算机科学与技术2103班,2026-04-26T18:01:54,2026-04-26T18:01:54
78,2021CS03078,曹睿哲,male,2004-04-20,15102556988,模拟市天河区模拟路439号,2021,2021-09-01,studying,,,2,计算机科学与技术,7,计算机科学与技术2103班,2026-04-26T18:01:54,2026-04-26T18:01:54
79,2023DS02079,葛佳怡,female,2004-08-17,15014617401,模拟市朝阳区模拟路668号,2023,2023-09-01,studying,,,4,数据科学与大数据技术,6,数据科学与大数据技术2302班,2026-04-26T18:01:54,2026-04-26T18:01:54
80,2023ECOM02080,袁语嫣,female,2003-11-14,15710936251,模拟市滨江区模拟路940号,2023,2023-09-01,studying,,,5,电子商务,8,电子商务2302班,2026-04-26T18:01:54,2026-04-26T18:01:54
81,2023DS02081,秦昊然,male,2004-07-27,18620136724,模拟市浦东新区模拟路550号,2023,2023-09-01,studying,,,4,数据科学与大数据技术,6,数据科学与大数据技术2302班,2026-04-26T18:01:54,2026-04-26T18:01:54
82,2023ECOM02082,孔诗涵,female,2004-06-20,17836917187,模拟市天河区模拟路491号,2023,2023-09-01,studying,,,5,电子商务,8,电子商务2302班,2026-04-26T18:01:54,2026-04-26T18:01:54
83,2024AI02083,苏思源,male,2007-09-14,13852708151,模拟市滨江区模拟路30号,2024,2024-09-01,studying,,,3,人工智能,4,人工智能2402班,2026-04-26T18:01:54,2026-04-26T18:01:54
84,2023DS02084,邹欣怡,female,2004-09-22,15954436456,模拟市朝阳区模拟路791号,2023,2023-09-01,studying,,,4,数据科学与大数据技术,6,数据科学与大数据技术2302班,2026-04-26T18:01:54,2026-04-26T18:01:54
85,2021CS02085,魏子轩,male,2004-11-28,15127805562,模拟市西湖区模拟路811号,2021,2021-09-01,studying,,,2,计算机科学与技术,2,计算机科学与技术2102班,2026-04-26T18:01:54,2026-04-26T18:01:54
86,2021ECOM01086,苏睿哲,male,2002-06-24,15250300865,模拟市天河区模拟路387号,2021,2021-09-01,studying,,,5,电子商务,1,电子商务2101班,2026-04-26T18:01:54,2026-04-26T18:01:54
87,2023DS02087,陶雪晴,female,2004-05-27,15700243901,模拟市天河区模拟路539号,2023,2023-09-01,graduated,,,4,数据科学与大数据技术,6,数据科学与大数据技术2302班,2026-04-26T18:01:54,2026-04-26T18:01:54
88,2023ECOM02088,彭梓萱,female,2006-06-25,15022681073,模拟市西湖区模拟路123号,2023,2023-09-01,studying,,,5,电子商务,8,电子商务2302班,2026-04-26T18:01:54,2026-04-26T18:01:54
89,2021ECOM01089,郑依晨,female,2004-03-28,15265498221,模拟市武侯区模拟路507号,2021,2021-09-01,studying,,,5,电子商务,1,电子商务2101班,2026-04-26T18:01:54,2026-04-26T18:01:54
90,2024AI02090,杨博文,male,2004-07-09,18807709793,模拟市朝阳区模拟路516号,2024,2024-09-01,studying,,,3,人工智能,4,人工智能2402班,2026-04-26T18:01:54,2026-04-26T18:01:54
91,2024AI02091,苗思源,male,2004-11-10,15213249607,模拟市海淀区模拟路87号,2024,2024-09-01,graduated,,,3,人工智能,4,人工智能2402班,2026-04-26T18:01:54,2026-04-26T18:01:54
92,2021ECOM01092,杨浩然,male,2003-07-18,15189456849,模拟市高新区模拟路415号,2021,2021-09-01,studying,,,5,电子商务,1,电子商务2101班,2026-04-26T18:01:54,2026-04-26T18:01:54
93,2021ECOM01093,苗梓萱,female,2001-08-05,13916881733,模拟市朝阳区模拟路143号,2021,2021-09-01,graduated,,,5,电子商务,1,电子商务2101班,2026-04-26T18:01:54,2026-04-26T18:01:54
94,2021CS02094,许若曦,female,2003-07-02,15778056836,模拟市朝阳区模拟路905号,2021,2021-09-01,studying,,,2,计算机科学与技术,2,计算机科学与技术2102班,2026-04-26T18:01:54,2026-04-26T18:01:54
95,2024AI02095,吴嘉诚,male,2007-12-21,16697909051,模拟市武侯区模拟路704号,2024,2024-09-01,studying,,,3,人工智能,4,人工智能2402班,2026-04-26T18:01:54,2026-04-26T18:01:54
96,2023ECOM02096,韩思源,male,2006-02-05,15944712312,模拟市海淀区模拟路809号,2023,2023-09-01,graduated,,,5,电子商务,8,电子商务2302班,2026-04-26T18:01:54,2026-04-26T18:01:54
97,2024AI02097,魏梦瑶,female,2004-04-09,15703774446,模拟市天河区模拟路602号,2024,2024-09-01,studying,,,3,人工智能,4,人工智能2402班,2026-04-26T18:01:54,2026-04-26T18:01:54
98,2021SE02098,马嘉诚,male,2003-04-22,15723049347,模拟市朝阳区模拟路402号,2021,2021-09-01,studying,,,1,软件工程,3,软件工程2102班,2026-04-26T18:01:54,2026-04-26T18:01:54
99,2023ECOM02099,陈昊然,male,2004-11-09,15851008499,模拟市海淀区模拟路444号,2023,2023-09-01,studying,,,5,电子商务,8,电子商务2302班,2026-04-26T18:01:54,2026-04-26T18:01:54
100,2022DS02100,俞宇航,male,2002-08-09,17840545256,模拟市天河区模拟路831号,2022,2022-09-01,studying,,,4,数据科学与大数据技术,5,数据科学与大数据技术2202班,2026-04-26T18:01:54,2026-04-26T18:01:54
